id	name	population
4	Afghanistan	1
8	Albania	1
12	Algeria	1
24	Angola	1
10	Antarctica	1
32	Argentina	1
51	Armenia	1
36	Australia	1
40	Austria	1
31	Azerbaijan	1
44	Bahamas	1
50	Bangladesh	1
112	Belarus	1
56	Belgium	1
84	Belize	1
204	Benin	1
64	Bhutan	1
68	"Bolivia, Plurinational State of"	1
70	Bosnia and Herzegovina	1
72	Botswana	1
76	Brazil	1
96	Brunei Darussalam	1
100	Bulgaria	1
854	Burkina Faso	1
108	Burundi	1
116	Cambodia	1
120	Cameroon	1
124	Canada	1
140	Central African Republic	1
148	Chad	1
152	Chile	1
156	China	1
170	Colombia	1
178	Congo	1
180	"Congo, the Democratic Republic of the"	1
188	Costa Rica	1
384	Cote d'Ivoire	1
191	Croatia	1
192	Cuba	1
196	Cyprus	1
203	Czech Republic	1
208	Denmark	1
262	Djibouti	1
214	Dominican Republic	1
218	Ecuador	1
818	Egypt	1
222	El Salvador	1
226	Equatorial Guinea	1
232	Eritrea	1
233	Estonia	1
231	Ethiopia	1
238	Falkland Islands (Malvinas)	
242	Fiji	1
246	Finland	1
250	France	1
260	French Southern Territories	1
266	Gabon	1
270	Gambia	1
268	Georgia	1
276	Germany	1
288	Ghana	1
300	Greece	1
304	Greenland	1
320	Guatemala	1
324	Guinea	1
624	Guinea-Bissau	1
328	Guyana	1
332	Haiti	1
340	Honduras	1
348	Hungary	1
352	Iceland	1
356	India	1
360	Indonesia	1
364	"Iran, Islamic Republic of"	1
368	Iraq	1
372	Ireland	1
376	Israel	1
380	Italy	1
388	Jamaica	1
392	Japan	1
400	Jordan	1
398	Kazakhstan	1
404	Kenya	1
408	"Korea, Democratic People's Republic of"	1
410	"Korea, Republic of"	1
414	Kuwait	1
417	Kyrgyzstan	1
418	Lao People's Democratic Republic	1
428	Latvia	1
422	Lebanon	1
426	Lesotho	1
430	Liberia	1
434	Libya	1
440	Lithuania	1
442	Luxembourg	1
807	"Macedonia, the former Yugoslav Republic of"	1
450	Madagascar	1
454	Malawi	1
458	Malaysia	1
466	Mali	1
478	Mauritania	1
484	Mexico	1
498	"Moldova, Republic of"	1
496	Mongolia	1
499	Montenegro	1
504	Morocco	1
508	Mozambique	1
104	Myanmar	1
516	Namibia	1
524	Nepal	1
528	Netherlands	1
540	New Caledonia	1
554	New Zealand	1
558	Nicaragua	1
562	Niger	1
566	Nigeria	1
578	Norway	1
512	Oman	1
586	Pakistan	1
275	"Palestinian Territory, Occupied"	1
591	Panama	1
598	Papua New Guinea	1
600	Paraguay	1
604	Peru	1
608	Philippines	1
616	Poland	1
620	Portugal	1
630	Puerto Rico	1
634	Qatar	1
642	Romania	1
643	Russian Federation	1
646	Rwanda	1
682	Saudi Arabia	1
686	Senegal	1
688	Serbia	1
694	Sierra Leone	1
703	Slovakia	1
705	Slovenia	1
90	Solomon Islands	1
706	Somalia	1
710	South Africa	1
728	South Sudan	1
724	Spain	1
144	Sri Lanka	1
729	Sudan	1
740	Suriname	1
748	Swaziland	1
752	Sweden	1
756	Switzerland	1
760	Syrian Arab Republic	1
158	"Taiwan, Province of China"	1
762	Tajikistan	1
834	"Tanzania, United Republic of"	1
764	Thailand	1
626	Timor-Leste	1
768	Togo	1
780	Trinidad and Tobago	1
788	Tunisia	1
792	Turkey	1
795	Turkmenistan	1
800	Uganda	1
804	Ukraine	1
784	United Arab Emirates	1
826	United Kingdom	1
840	United States	1
858	Uruguay	1
860	Uzbekistan	1
548	Vanuatu	1
862	"Venezuela, Bolivarian Republic of"	1
704	Viet Nam	1
732	Western Sahara	1
887	Yemen	1
894	Zambia	1
716	Zimbabwe	1
